i,simple/bagged,bias,variance,gen_error
290,bagged,0.4444,1.3333333333333335,1.7777777777777781
291,bagged,0.0,0.0,0.0
292,bagged,0.0,0.0,0.0
293,bagged,0.4444,1.3333333333333335,1.7777777777777781
294,bagged,1.7778,1.3333333333333335,3.111111111111111
295,bagged,0.4444,1.3333333333333335,1.7777777777777781
296,bagged,0.4444,1.3333333333333335,1.7777777777777781
297,bagged,0.0,0.0,0.0
298,bagged,0.0,0.0,0.0
299,bagged,0.4444,1.3333333333333335,1.7777777777777781
300,bagged,1.7778,1.3333333333333335,3.111111111111111
301,bagged,0.0,0.0,0.0
302,bagged,1.7778,1.3333333333333335,3.111111111111111
303,bagged,0.0,0.0,0.0
304,bagged,0.4444,1.3333333333333335,1.7777777777777781
305,bagged,4.0,0.0,4.0
306,bagged,0.0,0.0,0.0
307,bagged,0.0,0.0,0.0
308,bagged,1.7778,1.3333333333333335,3.111111111111111
309,bagged,0.0,0.0,0.0
310,bagged,0.4444,1.3333333333333335,1.7777777777777781
311,bagged,1.7778,1.3333333333333335,3.111111111111111
312,bagged,0.4444,1.3333333333333335,1.7777777777777781
313,bagged,0.0,0.0,0.0
314,bagged,0.4444,1.3333333333333335,1.7777777777777781
315,bagged,0.4444,1.3333333333333335,1.7777777777777781
316,bagged,1.7778,1.3333333333333335,3.111111111111111
317,bagged,1.7778,1.3333333333333335,3.111111111111111
318,bagged,0.4444,1.3333333333333335,1.7777777777777781
319,bagged,0.4444,1.3333333333333335,1.7777777777777781
320,bagged,0.0,0.0,0.0
321,bagged,4.0,0.0,4.0
322,bagged,0.0,0.0,0.0
323,bagged,0.0,0.0,0.0
324,bagged,0.0,0.0,0.0
325,bagged,0.0,0.0,0.0
326,bagged,0.4444,1.3333333333333335,1.7777777777777781
327,bagged,1.7778,1.3333333333333335,3.111111111111111
328,bagged,0.0,0.0,0.0
329,bagged,0.0,0.0,0.0
330,bagged,0.0,0.0,0.0
331,bagged,0.0,0.0,0.0
332,bagged,0.4444,1.3333333333333335,1.7777777777777781
333,bagged,0.0,0.0,0.0
334,bagged,0.4444,1.3333333333333335,1.7777777777777781
335,bagged,1.7778,1.3333333333333335,3.111111111111111
336,bagged,0.4444,1.3333333333333335,1.7777777777777781
337,bagged,0.4444,1.3333333333333335,1.7777777777777781
338,bagged,0.4444,1.3333333333333335,1.7777777777777781
339,bagged,0.4444,1.3333333333333335,1.7777777777777781
340,bagged,0.4444,1.3333333333333335,1.7777777777777781
341,bagged,0.0,0.0,0.0
342,bagged,0.4444,1.3333333333333335,1.7777777777777781
343,bagged,0.0,0.0,0.0
344,bagged,0.4444,1.3333333333333335,1.7777777777777781
345,bagged,0.0,0.0,0.0
346,bagged,0.0,0.0,0.0
347,bagged,0.0,0.0,0.0
348,bagged,0.0,0.0,0.0
349,bagged,1.7778,1.3333333333333335,3.111111111111111
350,bagged,0.0,0.0,0.0
351,bagged,1.7778,1.3333333333333335,3.111111111111111
352,bagged,0.4444,1.3333333333333335,1.7777777777777781
353,bagged,0.0,0.0,0.0
354,bagged,0.4444,1.3333333333333335,1.7777777777777781
355,bagged,0.0,0.0,0.0
356,bagged,1.7778,1.3333333333333335,3.111111111111111
357,bagged,0.4444,1.3333333333333335,1.7777777777777781
358,bagged,1.7778,1.3333333333333335,3.111111111111111
359,bagged,0.0,0.0,0.0
360,bagged,0.0,0.0,0.0
361,bagged,4.0,0.0,4.0
362,bagged,0.4444,1.3333333333333335,1.7777777777777781
363,bagged,1.7778,1.3333333333333335,3.111111111111111
364,bagged,4.0,0.0,4.0
365,bagged,1.7778,1.3333333333333335,3.111111111111111
366,bagged,0.4444,1.3333333333333335,1.7777777777777781
367,bagged,0.0,0.0,0.0
368,bagged,0.0,0.0,0.0
369,bagged,4.0,0.0,4.0
370,bagged,0.0,0.0,0.0
371,bagged,0.0,0.0,0.0
372,bagged,0.4444,1.3333333333333335,1.7777777777777781
373,bagged,0.0,0.0,0.0
374,bagged,0.0,0.0,0.0
375,bagged,0.0,0.0,0.0
376,bagged,0.0,0.0,0.0
377,bagged,0.0,0.0,0.0
378,bagged,0.0,0.0,0.0
379,bagged,0.4444,1.3333333333333335,1.7777777777777781
380,bagged,0.4444,1.3333333333333335,1.7777777777777781
381,bagged,0.0,0.0,0.0
382,bagged,0.0,0.0,0.0
383,bagged,0.4444,1.3333333333333335,1.7777777777777781
384,bagged,0.0,0.0,0.0
385,bagged,0.4444,1.3333333333333335,1.7777777777777781
386,bagged,0.0,0.0,0.0
387,bagged,0.4444,1.3333333333333335,1.7777777777777781
388,bagged,1.7778,1.3333333333333335,3.111111111111111
389,bagged,0.0,0.0,0.0
390,bagged,1.7778,1.3333333333333335,3.111111111111111
391,bagged,0.0,0.0,0.0
392,bagged,0.0,0.0,0.0
393,bagged,4.0,0.0,4.0
394,bagged,0.4444,1.3333333333333335,1.7777777777777781
395,bagged,0.4444,1.3333333333333335,1.7777777777777781
396,bagged,0.4444,1.3333333333333335,1.7777777777777781
397,bagged,0.0,0.0,0.0
398,bagged,1.7778,1.3333333333333335,3.111111111111111
399,bagged,0.0,0.0,0.0
400,bagged,0.4444,1.3333333333333335,1.7777777777777781
401,bagged,0.4444,1.3333333333333335,1.7777777777777781
402,bagged,0.4444,1.3333333333333335,1.7777777777777781
403,bagged,0.0,0.0,0.0
404,bagged,0.4444,1.3333333333333335,1.7777777777777781
405,bagged,1.7778,1.3333333333333335,3.111111111111111
406,bagged,0.4444,1.3333333333333335,1.7777777777777781
407,bagged,0.4444,1.3333333333333335,1.7777777777777781
408,bagged,4.0,0.0,4.0
409,bagged,0.4444,1.3333333333333335,1.7777777777777781
410,bagged,0.4444,1.3333333333333335,1.7777777777777781
411,bagged,0.0,0.0,0.0
412,bagged,1.7778,1.3333333333333335,3.111111111111111
413,bagged,1.7778,1.3333333333333335,3.111111111111111
414,bagged,0.0,0.0,0.0
415,bagged,0.0,0.0,0.0
416,bagged,0.4444,1.3333333333333335,1.7777777777777781
417,bagged,1.7778,1.3333333333333335,3.111111111111111
418,bagged,0.0,0.0,0.0
419,bagged,1.7778,1.3333333333333335,3.111111111111111
420,bagged,0.4444,1.3333333333333335,1.7777777777777781
421,bagged,0.4444,1.3333333333333335,1.7777777777777781
422,bagged,0.0,0.0,0.0
423,bagged,0.0,0.0,0.0
424,bagged,0.0,0.0,0.0
425,bagged,0.4444,1.3333333333333335,1.7777777777777781
426,bagged,1.7778,1.3333333333333335,3.111111111111111
427,bagged,0.0,0.0,0.0
428,bagged,1.7778,1.3333333333333335,3.111111111111111
429,bagged,0.0,0.0,0.0
430,bagged,0.0,0.0,0.0
431,bagged,1.7778,1.3333333333333335,3.111111111111111
